Date,Open,High,Low,Close,Adj Close,Volume
"Nov 19, 2025",73.79,74.19,72.25,72.86,72.78,"542,600"
"Nov 18, 2025",74.29,75.00,72.66,73.67,73.59,"740,200"
"Nov 17, 2025",77.33,77.80,75.55,76.08,76.00,"500,300"
"Nov 14, 2025",76.75,78.91,76.75,77.75,77.67,"334,700"
"Nov 13, 2025",80.08,80.96,77.95,78.33,78.25,"486,300"
"Nov 12, 2025",77.39,80.24,77.31,80.02,79.94,"541,000"
"Nov 11, 2025",76.99,77.35,76.24,76.52,76.44,"415,500"
"Nov 10, 2025",78.09,78.33,76.05,76.53,76.45,"614,700"
"Nov 07, 2025",75.80,77.53,75.50,76.71,76.63,"475,200"
"Nov 06, 2025",77.54,78.44,75.79,75.99,75.91,"617,900"
"Nov 05, 2025",75.17,79.41,74.68,77.94,77.86,"659,100"
"Nov 04, 2025",75.48,75.74,74.35,75.03,74.95,"745,300"
"Nov 03, 2025",78.42,78.42,76.15,76.68,76.60,"474,100"
"Oct 31, 2025",77.48,78.38,76.44,78.33,78.25,"633,100"
"Oct 30, 2025",79.77,80.59,78.26,78.38,78.30,"647,500"
"Oct 29, 2025",83.05,83.88,79.91,80.53,80.45,"603,500"
"Oct 28, 2025",85.31,85.31,83.30,83.89,83.80,"462,100"
"Oct 27, 2025",84.99,86.83,84.99,85.49,85.40,"432,200"
"Oct 24, 2025",86.91,86.91,85.26,85.53,85.44,"406,800"
"Oct 23, 2025",85.29,87.32,85.17,86.66,86.57,"528,700"
"Oct 22, 2025",83.99,85.82,83.99,84.59,84.50,"589,400"
"Oct 21, 2025",82.28,85.67,81.77,84.73,84.64,"646,000"
"Oct 20, 2025",82.20,83.78,81.91,82.10,82.02,"496,600"
"Oct 17, 2025",81.37,82.89,80.65,81.84,81.76,"463,200"
"Oct 16, 2025",83.08,83.56,80.44,81.72,81.64,"620,500"
"Oct 15, 2025",84.35,85.74,82.80,83.13,83.04,"525,100"
"Oct 14, 2025",78.64,84.17,78.64,83.10,83.01,"750,000"
"Oct 13, 2025",77.92,80.40,77.87,80.08,80.00,"660,800"
"Oct 10, 2025",80.77,80.85,76.36,76.49,76.41,"877,700"
"Oct 09, 2025",84.21,84.30,80.44,80.74,80.66,"803,700"
"Oct 08, 2025",84.01,85.23,82.84,84.28,84.19,"609,100"
"Oct 07, 2025",85.66,86.44,82.01,83.44,83.35,"860,500"
"Oct 06, 2025",84.03,86.00,82.33,85.11,85.02,"847,300"
"Oct 03, 2025",82.98,84.94,82.64,83.52,83.43,"679,400"
"Oct 02, 2025",85.27,85.56,82.24,82.68,82.59,"1,080,800"
"Oct 01, 2025",83.89,85.50,82.94,85.14,85.05,"817,700"
"Sep 30, 2025",84.78,85.28,82.76,83.77,83.68,"971,000"
"Sep 29, 2025",87.23,87.87,84.53,84.88,84.79,"929,800"
"Sep 26, 2025",86.34,87.22,85.98,86.78,86.69,"756,300"
"Sep 25, 2025",89.00,89.00,85.15,85.74,85.65,"920,900"
"Sep 24, 2025",87.91,89.68,87.78,89.52,89.43,"1,041,900"
"Sep 23, 2025",85.25,88.50,85.25,87.76,87.67,"1,283,800"
"Sep 22, 2025",86.21,86.62,84.89,85.08,84.99,"1,108,500"
"Sep 19, 2025",86.85,87.30,85.79,86.53,86.44,"2,204,600"
"Sep 18, 2025",84.94,86.92,83.89,86.88,86.79,"1,102,300"
"Sep 17, 2025",83.29,85.63,83.10,84.06,83.97,"1,109,300"
"Sep 16, 2025",83.59,83.98,81.05,82.93,82.84,"896,400"
"Sep 15, 2025",81.95,84.34,81.13,84.02,83.93,"902,100"
"Sep 12, 2025",81.71,82.44,81.05,81.05,80.97,"976,700"
"Sep 11, 2025",82.04,83.50,81.49,82.02,81.94,"1,058,300"
"Sep 10, 2025",81.48,82.71,80.97,81.64,81.56,"963,900"
"Sep 09, 2025",84.85,84.85,81.64,82.33,82.24,"1,136,700"
"Sep 08, 2025",87.87,87.88,84.21,84.62,84.53,"2,051,700"
"Sep 05, 2025",88.78,89.79,86.84,87.76,87.67,"1,298,200"
"Sep 04, 2025",85.04,89.42,84.68,89.33,89.24,"1,335,700"
